Ordem,ID,Versão,Sprint,Componente,Forma de integração,Tipo,Tarefa,Passo de execução,Artefato a produzir,Critério de aceite,Dependências,Requisitos,Status,Prioridade na versão,Risco,Aplicabilidade,Responsável,Revisor humano,Data de aceite,Evidência exigida,Evidência obtida,ADR / justificativa,Fechamento,Observações
11,SL-S01-GATE,v0.0.1,S01,Arquitetura / produto,Aceite humano,Gate,"Aceitar S01 — Ratificar escopo, soberania e composição","Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S01/acceptance.md,"Autor consegue explicar offline, Jev, workers e cinco alvos sem contradições. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.",SL-S01-01; SL-S01-02; SL-S01-03; SL-S01-04; SL-S01-05; SL-S01-06; SL-S01-07; SL-S01-08; SL-S01-09; SL-S01-10,R01; R03; R07; R08; R33; R34,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S01/acceptance.md,,,PENDENTE,
12,SL-S02-01,v0.0.1,S02,Vault / contratos,Próprio,Contrato,Definir entidade e ocorrência,"Separar fonte, conteúdo da célula/nota, ocorrência visual, grupo, aresta, Peça e bloco.",schemas/domain-v0.json,A mesma nota em dois boards tem conteúdo único e duas geometrias independentes.,SL-S01-GATE,R02; R04; R05; R11; R13; R32; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S02/SL-S02-01.md,,,PENDENTE,
13,SL-S02-02,v0.0.1,S02,Vault / contratos,Próprio,Contrato,Definir IDs estáveis,"Fixar geração, namespace e regras de colisão sem depender do nome do arquivo.",schemas/identity-v0.json,Renomear/mover não altera identidade; duplicar como nova autoria recebe novo ID.,SL-S02-01,R02; R04; R05; R11; R13; R32; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S02/SL-S02-02.md,,,PENDENTE,
14,SL-S02-03,v0.0.1,S02,Vault / contratos,Próprio,Decisão,Definir autoridade de arquivos,Formalizar JSON+histórico e MPK derivado; resolver ADR-002.,docs/adr/002-file-truth.md,Recuperação tem precedência determinística e não escolhe fonte por timestamp arbitrário.,SL-S02-02,R02; R04; R05; R11; R13; R32; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S02/SL-S02-03.md,,,PENDENTE,
15,SL-S02-04,v0.0.1,S02,Vault / contratos,Próprio,Contrato,Especificar perfil Markdown,"Listar blocos suportados e representação de frontmatter, IDs, tabelas e citações.",docs/adr/005-markdown-profile.md,"Cada bloco possui round-trip previsto; recurso não representável é preservado ou recusado, não achatado.",SL-S02-03,R02; R04; R05; R11; R13; R32; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S02/SL-S02-04.md,,,PENDENTE,
16,SL-S02-05,v0.0.1,S02,Vault / contratos,Próprio,Contrato,Especificar topologia,"Registrar posições, dimensões, grupos, conexões, rótulos e referências de conteúdo.",schemas/board-v0.json,Ciclos e arestas entre grupos são representáveis sem duplicar conteúdo.,SL-S02-04,R02; R04; R05; R11; R13; R32; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S02/SL-S02-05.md,,,PENDENTE,
17,SL-S02-06,v0.0.1,S02,Vault / contratos,Próprio,Contrato,Especificar revisões e eventos,"Definir base_revision, operação, autor, origem IA e marcador de confirmação.",schemas/event-v0.json,Evento não confirmado é distinguível de estado salvo; replay e conflitos têm regras explícitas.,SL-S02-05,R02; R04; R05; R11; R13; R32; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S02/SL-S02-06.md,,,PENDENTE,
18,SL-S02-07,v0.0.1,S02,Vault / contratos,Próprio,Contrato,Especificar evidência,"Combinar source_id, revisão, trecho, localizador, hash e bloco de destino.",schemas/evidence-v0.json,Referência distingue texto citado de comentário e não se torna inválida por renomeação.,SL-S02-06,R02; R04; R05; R11; R13; R32; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S02/SL-S02-07.md,,,PENDENTE,
19,SL-S02-08,v0.0.1,S02,Vault / contratos,Próprio,Contrato,Especificar metadados de IA,"Separar resumo gerado/editado, tags sugeridas/aceitas e identificação do pipeline.",schemas/enrichment-v0.json,Reprocessamento não sobrescreve correção humana; cobertura parcial pode ser declarada.,SL-S02-07,R02; R04; R05; R11; R13; R32; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S02/SL-S02-08.md,,,PENDENTE,
20,SL-S02-09,v0.0.1,S02,Vault / contratos,Próprio,Teste,Construir fixtures válidas e inválidas,"Criar um Vault mínimo, um completo e casos com campos desconhecidos.",tests/fixtures/schema/,"Validadores aceitam extensões permitidas e rejeitam IDs duplicados, tipos errados e referências impossíveis.",SL-S02-08,R02; R04; R05; R11; R13; R32; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S02/SL-S02-09.md,,,PENDENTE,
21,SL-S02-10,v0.0.1,S02,Vault / contratos,Próprio,Decisão,Definir evolução de schema,"Documentar migração, versão desconhecida, abertura somente leitura e exportação.",docs/contracts/schema-evolution.md,Um app antigo nunca regrava silenciosamente um formato novo que não compreende.,SL-S02-09,R02; R04; R05; R11; R13; R32; R37,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S02/SL-S02-10.md,,,PENDENTE,
22,SL-S02-GATE,v0.0.1,S02,Vault / contratos,Aceite humano,Gate,"Aceitar S02 — Definir formatos, identidade e autoridade","Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S02/acceptance.md,Fixtures independentes dos motores representam uma mesa e uma Peça completas. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.,SL-S02-01; SL-S02-02; SL-S02-03; SL-S02-04; SL-S02-05; SL-S02-06; SL-S02-07; SL-S02-08; SL-S02-09; SL-S02-10,R02; R04; R05; R11; R13; R32; R37,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S02/acceptance.md,,,PENDENTE,
23,SL-S03-01,v0.0.1,S03,Todos os motores / licenças,Desconstrução,Upstream,Inventariar repositórios,"Registrar URL, licença observada, linguagens, releases e componentes transitivos críticos.",upstream/catalog.yaml,"BlockSuite, PageIndex, Docling, Jev, Qdrant, HelixDB, Scrapling, SearxNG e LocalAI estão cobertos.",SL-S01-GATE; SL-S02-GATE,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S03/SL-S03-01.md,,,PENDENTE,
24,SL-S03-02,v0.0.1,S03,Todos os motores / licenças,Desconstrução,Upstream,Criar manifesto de origem,"Definir campos commit/tag, hashes, patches, avisos e comando de build.",upstream/manifest.schema.json,Nenhum componente empacotado pode usar latest ou branch móvel sem resolução para uma revisão.,SL-S03-01,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S03/SL-S03-02.md,,,PENDENTE,
25,SL-S03-03,v0.0.1,S03,Todos os motores / licenças,Desconstrução,Licença,Examinar BlockSuite por árvore,Distinguir standalone de AFFiNE e fechar o inventário dos arquivos candidatos.,docs/legal/blocksuite-scope.md,Licença não é inferida apenas pelo nome do projeto ou por um único package.json.,SL-S03-02,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S03/SL-S03-03.md,,,PENDENTE,
26,SL-S03-04,v0.0.1,S03,Todos os motores / licenças,Desconstrução,Licença,Examinar SearxNG e modelos,"Separar código AGPL, integração por API e termos dos pesos/backends.",docs/legal/component-obligations.md,"Fonte correspondente, avisos e redistribuição estão mapeados por artefato.",SL-S03-03,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S03/SL-S03-04.md,,,PENDENTE,
27,SL-S03-05,v0.0.1,S03,Todos os motores / licenças,Desconstrução,Decisão,Ratificar licença própria,Resolver ADR-003; explicar operação não comercial versus direitos open source de terceiros.,docs/adr/003-license.md,Licença aprovada sem cláusula non-commercial incompatível disfarçada de open source.,SL-S03-04,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S03/SL-S03-05.md,,,PENDENTE,
28,SL-S03-06,v0.0.1,S03,Todos os motores / licenças,Desconstrução,Upstream,Delimitar reutilização,"Marcar bibliotecas, adapters, forks mínimos e serviços; excluir UIs completas e stores concorrentes.",docs/architecture/reuse-map.md,Cada motor tem lista de incluir/excluir e interfaces Sandland responsáveis pela autoridade.,SL-S03-05,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S03/SL-S03-06.md,,,PENDENTE,
29,SL-S03-07,v0.0.1,S03,Todos os motores / licenças,Desconstrução,Upstream,Definir política de patches,Criar série pequena e reprodutível; separar correções genéricas de customizações.,upstream/PATCH_POLICY.md,Um fork pode ser rebaseado e sua diferença para upstream pode ser enumerada.,SL-S03-06,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S03/SL-S03-07.md,,,PENDENTE,
30,SL-S03-08,v0.0.1,S03,Todos os motores / licenças,Desconstrução,Governança,Preparar avisos e SBOM,"Criar estrutura de LICENSES, NOTICE e inventário de dependências.",compliance/,Não há licença de terceiros substituída pela licença própria sem base legal.,SL-S03-07,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S03/SL-S03-08.md,,,PENDENTE,
31,SL-S03-09,v0.0.1,S03,Todos os motores / licenças,Desconstrução,Governança,Definir ciclo de atualização,"Fixar auditoria, testes diferenciais, rollback e prioridade para vulnerabilidades.",docs/maintenance/upstream.md,Atualização sem evidência não chega automaticamente ao usuário ou altera modelos instalados.,SL-S03-08,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S03/SL-S03-09.md,,,PENDENTE,
32,SL-S03-10,v0.0.1,S03,Todos os motores / licenças,Desconstrução,Decisão,Definir limites de spikes,"Para cada prova, listar pergunta, corpus, evidência mínima e decisão de continuar/replanejar.",docs/spikes/register.md,Relatório inconclusivo não vira integração aprovada; Qdrant e Helix têm protocolo comparável.,SL-S03-09,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S03/SL-S03-10.md,,,PENDENTE,
33,SL-S03-GATE,v0.0.1,S03,Todos os motores / licenças,Aceite humano,Gate,Aceitar S03 — Inventariar upstreams e definir recortes,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S03/acceptance.md,"Cada motor tem origem rastreável, fronteira proposta e decisão de manter/extrair/adaptar. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.",SL-S03-01; SL-S03-02; SL-S03-03; SL-S03-04; SL-S03-05; SL-S03-06; SL-S03-07; SL-S03-08; SL-S03-09; SL-S03-10,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S03/acceptance.md,,,PENDENTE,
34,SL-S04-01,v0.0.2,S04,Ferramentas / governança,Próprio,Implementação,Criar estrutura do monorepo,"Separar app desktop, crates, adapters, workers, schemas, fixtures e docs.",repository-layout.md,Dependências apontam para contratos e não para UI/estado privado de outro motor.,SL-S03-GATE,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S04/SL-S04-01.md,,,PENDENTE,
35,SL-S04-02,v0.0.2,S04,Ferramentas / governança,Próprio,Implementação,Fixar toolchains,"Pin Rust, JS e runtimes necessários para desenvolvimento, sem instaladores globais implícitos.",toolchains.lock,Ambiente limpo reproduz versões; mudanças de versão são diff explícito.,SL-S04-01,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S04/SL-S04-02.md,,,PENDENTE,
36,SL-S04-03,v0.0.2,S04,Ferramentas / governança,Próprio,Implementação,Configurar formatadores e lint,Definir regras por linguagem e exclusões de fontes vendorizadas.,tooling/lint/,Comando único reporta erros sem reformatar ou apagar avisos de arquivos upstream.,SL-S04-02,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S04/SL-S04-03.md,,,PENDENTE,
37,SL-S04-04,v0.0.2,S04,Ferramentas / governança,Próprio,Implementação,Criar comandos de projeto,"Padronizar bootstrap, check, test, fixtures e pacote de evidências.",tooling/tasks/,"Comandos têm help, retorno de erro confiável e não dependem do histórico do shell.",SL-S04-03,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S04/SL-S04-04.md,,,PENDENTE,
38,SL-S04-05,v0.0.2,S04,Ferramentas / governança,Próprio,Governança,Criar política de branches,Uma frente mutável principal; PRs pequenos com IDs de tarefa e rollback.,CONTRIBUTING.md,Dois agentes não alteram contratos compartilhados em paralelo sem acordo explícito.,SL-S04-04,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S04/SL-S04-05.md,,,PENDENTE,
39,SL-S04-06,v0.0.2,S04,Ferramentas / governança,Próprio,Governança,Escrever instruções de agentes,"Delimitar arquivos, segredos, rede, testes obrigatórios e critérios de parada.",AGENTS.md,Agente não pode declarar testes executados sem logs nem aprovar a própria entrega.,SL-S04-05,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S04/SL-S04-06.md,,,PENDENTE,
40,SL-S04-07,v0.0.2,S04,Ferramentas / governança,Próprio,Governança,Criar template de tarefa,"Incluir contrato, fixture, não escopo, aceite e evidências.",.github/ISSUE_TEMPLATE/task.yml,Tarefa pode ser entregue a novo agente sem depender de memória informal da conversa.,SL-S04-06,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S04/SL-S04-07.md,,,PENDENTE,
41,SL-S04-08,v0.0.2,S04,Ferramentas / governança,Próprio,Governança,Criar template de PR,"Exigir origem de código, mudanças de schema, segurança, testes e artefatos.",.github/pull_request_template.md,PR sem evidências ou com teste pulado tem bloqueio explícito.,SL-S04-07,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S04/SL-S04-08.md,,,PENDENTE,
42,SL-S04-09,v0.0.2,S04,Ferramentas / governança,Próprio,Implementação,Separar configuração e segredos,Fornecer arquivos de exemplo sem credenciais e política de logs.,config/examples/,Scanner detecta segredos plantados em fixture e não coleta dados reais do desenvolvedor.,SL-S04-08,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S04/SL-S04-09.md,,,PENDENTE,
43,SL-S04-10,v0.0.2,S04,Ferramentas / governança,Próprio,Teste,Executar ensaio do fluxo,"Fazer alteração descartável em fixture, revisão adversarial e reversão.",reports/workflow-dry-run.md,"Histórico evidencia proposta, teste, revisão humana e rollback, sem merge automático por agente.",SL-S04-09,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S04/SL-S04-10.md,,,PENDENTE,
44,SL-S04-GATE,v0.0.2,S04,Ferramentas / governança,Aceite humano,Gate,Aceitar S04 — Montar repositório e fluxo solo com IA,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S04/acceptance.md,Um agente implementa uma tarefa isolada e o autor consegue revisar o patch e seus testes. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.,SL-S04-01; SL-S04-02; SL-S04-03; SL-S04-04; SL-S04-05; SL-S04-06; SL-S04-07; SL-S04-08; SL-S04-09; SL-S04-10,R03; R30; R33; R34,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S04/acceptance.md,,,PENDENTE,
45,SL-S05-01,v0.0.2,S05,Qualidade / desempenho,Próprio,Implementação,Montar CI de contratos,"Rodar schemas, lint e testes determinísticos sem chaves de serviços.",.github/workflows/check.yml,PR com schema inválido falha; CI básica passa sem acesso a Jev/BYOK.,SL-S04-GATE,R01; R09; R12; R15; R20; R34,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S05/SL-S05-01.md,,,PENDENTE,
46,SL-S05-02,v0.0.2,S05,Qualidade / desempenho,Próprio,Implementação,Criar matriz de builds,Incluir os cinco alvos quando suportado pelo ambiente; distinguir build e teste nativo.,ci/target-matrix.yaml,Painel não mostra target compilado como target funcionalmente homologado.,SL-S05-01,R01; R09; R12; R15; R20; R34,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S05/SL-S05-02.md,,,PENDENTE,
47,SL-S05-03,v0.0.2,S05,Qualidade / desempenho,Próprio,Teste,Montar corpus documental,"Reunir PDFs textuais/escaneados, DOCX, HTML, Markdown e transcrições com direitos de uso.",tests/corpus/manifest.json,"Cada item possui hash, idioma, formato e licença/origem; nenhum dado privado entra no repositório.",SL-S05-02,R01; R09; R12; R15; R20; R34,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S05/SL-S05-03.md,,,PENDENTE,
48,SL-S05-04,v0.0.2,S05,Qualidade / desempenho,Próprio,Teste,Montar corpus de busca,"Rotular perguntas, respostas esperadas, ausência de resposta e fontes em português.",tests/eval/retrieval-v1.jsonl,Conjunto de avaliação é separado dos exemplos usados para ajustar prompts e thresholds.,SL-S05-03,R01; R09; R12; R15; R20; R34,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S05/SL-S05-04.md,,,PENDENTE,
49,SL-S05-05,v0.0.2,S05,Qualidade / desempenho,Próprio,Teste,Criar corpus hostil,"Incluir traversal, HTML ativo, injeção de prompt, arquivos truncados e URLs internas.",tests/security/fixtures/,Cada fixture é inerte fora de harness controlado e tem comportamento negado esperado.,SL-S05-04,R01; R09; R12; R15; R20; R34,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S05/SL-S05-05.md,,,PENDENTE,
50,SL-S05-06,v0.0.2,S05,Qualidade / desempenho,Próprio,Decisão,Fixar métricas de memória,"Definir RAM/RSS/PSS/VRAM, processos incluídos e diferenças por SO.",docs/adr/007-resource-profiles.md,Meta de 350 MB não é validada medindo apenas o processo Rust.,SL-S05-05,R01; R09; R12; R15; R20; R34,Não iniciado,P0,Alto,Obrigatória no escopo da versão,Autor,,,reports/S05/SL-S05-06.md,,,PENDENTE,
51,SL-S05-07,v0.0.2,S05,Qualidade / desempenho,Próprio,Implementação,Criar harness de desempenho,"Medir startup interativo, ack IPC, latência de busca e frame times.",tooling/bench/,"Dados brutos incluem hardware, versão, dataset, warm/cold e repetição; não apenas médias soltas.",SL-S05-06,R01; R09; R12; R15; R20; R34,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S05/SL-S05-07.md,,,PENDENTE,
52,SL-S05-08,v0.0.2,S05,Qualidade / desempenho,Próprio,Teste,Gerar cenas sintéticas,"Criar boards de 100 e 1.000 nós com textos, imagens, grupos e conexões.",tests/fixtures/boards/,Cenas são determinísticas e não representam só caixas vazias favoráveis ao benchmark.,SL-S05-07,R01; R09; R12; R15; R20; R34,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S05/SL-S05-08.md,,,PENDENTE,
53,SL-S05-09,v0.0.2,S05,Qualidade / desempenho,Próprio,Implementação,Padronizar evidências,"Definir JSON de resultados e caminho por tarefa, hash de commit e ambiente.",schemas/evidence-report.json,"Relatório distingue executado, falhou, bloqueado e não executado; campo de aprovação é humano.",SL-S05-08,R01; R09; R12; R15; R20; R34,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S05/SL-S05-09.md,,,PENDENTE,
54,SL-S05-10,v0.0.2,S05,Qualidade / desempenho,Próprio,Teste,Validar a própria bancada,"Injetar regressão de tempo, erro de schema e ausência de runner.",reports/ci-self-test.md,"Cada situação gera falha ou estado bloqueado, nunca resultado verde fictício.",SL-S05-09,R01; R09; R12; R15; R20; R34,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S05/SL-S05-10.md,,,PENDENTE,
55,SL-S05-GATE,v0.0.2,S05,Qualidade / desempenho,Aceite humano,Gate,"Aceitar S05 — Construir CI, corpus e protocolo de medição","Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S05/acceptance.md,Falha introduzida em contrato bloqueia pipeline e um benchmark gera dados reproduzíveis. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.,SL-S05-01; SL-S05-02; SL-S05-03; SL-S05-04; SL-S05-05; SL-S05-06; SL-S05-07; SL-S05-08; SL-S05-09; SL-S05-10,R01; R09; R12; R15; R20; R34,Não iniciado,P0,Alto,Obrigatória para fechar a versão aprovada,Autor,,,reports/S05/acceptance.md,,,PENDENTE,
56,SL-S06-01,v0.0.2,S06,Tauri / apresentação,Integração,Implementação,Inicializar Tauri v2,Montar frontend mínimo e Core; manter motores pesados fora do startup.,apps/desktop/,"Shell abre sem modelos, browsers, servidores de pesquisa ou bibliotecas Python carregados.",SL-S04-GATE; SL-S05-GATE,R01; R03; R07; R08; R31; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S06/SL-S06-01.md,,,PENDENTE,
57,SL-S06-02,v0.0.2,S06,Tauri / apresentação,Integração,Implementação,Definir contratos IPC,"Versionar request/response, erros, IDs e cancelamento; gerar tipos onde possível.",schemas/ipc-v0.json,Frontend não chama comandos arbitrários ou APIs nativas por nomes não autorizados.,SL-S06-01,R01; R03; R07; R08; R31; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S06/SL-S06-02.md,,,PENDENTE,
58,SL-S06-03,v0.0.2,S06,Tauri / apresentação,Integração,Implementação,Configurar capabilities,Expor apenas comandos do app e aplicar CSP restritiva à apresentação.,apps/desktop/capabilities/,"Script de conteúdo não obtém acesso automático a filesystem, shell ou segredos.",SL-S06-02,R01; R03; R07; R08; R31; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S06/SL-S06-03.md,,,PENDENTE,
